image_id,file_path,source_type,generator,model,prompt,negative_prompt,primary_scene,secondary_scenes,quality_tags,split,source_image_id,notes
breakfast_qwen_normal_0001,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_normal_0001.jpg,synthetic,dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: clear realistic smartphone photo, natural lighting, no text overlay, no watermark. prioritize beautiful but still realistic phone-photo aesthetics. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: normal.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll photo, not stock photography, not advertisement.
Keep the sce…","commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise, watermark, logo, text overlay, poster design, commercial studio photo, glossy render, 3d render, cartoon, anime, illustration, unrealistic AI artifacts, distorted hands, duplicate faces, malformed limbs, low quality",breakfast,,normal,pilot_review,breakfast_flux_normal_0001,Qwen pilot variant. 精品正常样本，优先看是否像真实手机照片
breakfast_qwen_low_light_0002,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_low_light_0002.jpg,synthetic,dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: low light indoor or evening photo, visible but dim, realistic phone noise, not too dark. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: low_light.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll photo, not stock photography, not advertisement.
Keep th…","commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise, watermark, logo, text overlay, poster design, commercial studio photo, glossy render, 3d render, cartoon, anime, illustration, unrealistic AI artifacts, distorted hands, duplicate faces, malformed limbs, low quality",breakfast,,low_light,pilot_review,breakfast_sd35_low_light_0002,Qwen pilot variant. 低光困难样本
breakfast_qwen_blurry_compressed_0003,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_blurry_compressed_0003.jpg,synthetic,dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: slightly shaky handheld photo, mild motion blur and compression artifacts, still recognizable. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: blurry,compressed.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll photo, not stock photography, not advertis…","commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise, watermark, logo, text overlay, poster design, commercial studio photo, glossy render, 3d render, cartoon, anime, illustration, unrealistic AI artifacts, distorted hands, duplicate faces, malformed limbs, low quality",breakfast,,"blurry,compressed",pilot_review,breakfast_sd35_blurry_compressed_0003,Qwen pilot variant. 轻微手抖和压缩，不要极端糊
breakfast_qwen_cluttered_0004,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_cluttered_0004.jpg,synthetic,dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: messy real-life background, extra objects and visual clutter, still understandable. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: cluttered.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll photo, not stock photography, not advertisement.
Keep the sce…","commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise, watermark, logo, text overlay, poster design, commercial studio photo, glossy render, 3d render, cartoon, anime, illustration, unrealistic AI artifacts, distorted hands, duplicate faces, malformed limbs, low quality",breakfast,,cluttered,pilot_review,breakfast_sd35_cluttered_0004,Qwen pilot variant. 杂物背景，保留主体
breakfast_qwen_weird_angle_0005,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_weird_angle_0005.jpg,synthetic,dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: awkward tilted or top-down smartphone angle, casual composition, not a studio shot. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: weird_angle.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll photo, not stock photography, not advertisement.
Keep the s…","commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise, watermark, logo, text overlay, poster design, commercial studio photo, glossy render, 3d render, cartoon, anime, illustration, unrealistic AI artifacts, distorted hands, duplicate faces, malformed limbs, low quality",breakfast,,weird_angle,pilot_review,breakfast_sd35_weird_angle_0005,Qwen pilot variant. 奇怪角度，模拟随手拍
breakfast_qwen_partial_subject_0006,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_partial_subject_0006.jpg,synthetic,dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: main subject partly cropped or partially visible, realistic accidental framing. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: partial_subject.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll photo, not stock photography, not advertisement.
Keep the s…","commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise, watermark, logo, text overlay, poster design, commercial studio photo, glossy render, 3d render, cartoon, anime, illustration, unrealistic AI artifacts, distorted hands, duplicate faces, malformed limbs, low quality",breakfast,,partial_subject,pilot_review,breakfast_sd35_partial_subject_0006,Qwen pilot variant. 主体部分裁切
breakfast_qwen_screenshot_text_overlay_0007,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_screenshot_text_overlay_0007.jpg,synthetic,dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: phone screenshot-like image containing a photo with small UI bars or subtle text overlay, realistic but not a clean camera photo. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: screenshot,text_overlay.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll p…","commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise, watermark, logo, text overlay, poster design, commercial studio photo, glossy render, 3d render, cartoon, anime, illustration, unrealistic AI artifacts, distorted hands, duplicate faces, malformed limbs, low quality",breakfast,,"screenshot,text_overlay",pilot_review,breakfast_sd35_screenshot_text_overlay_0007,Qwen pilot variant. 特殊来源样本，审核后再决定是否训练
breakfast_qwen_collage_0008,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_collage_0008.jpg,synthetic,dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: simple two-photo or three-photo collage layout, real phone album style, no decorative design. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: collage.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll photo, not stock photography, not advertisement.
Keep…","commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise, watermark, logo, text overlay, poster design, commercial studio photo, glossy render, 3d render, cartoon, anime, illustration, unrealistic AI artifacts, distorted hands, duplicate faces, malformed limbs, low quality",breakfast,,collage,pilot_review,breakfast_sd35_collage_0008,Qwen pilot variant. 拼图样本，审核后再决定是否训练
breakfast_qwen_backlight_0009,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_backlight_0009.jpg,synthetic,dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: strong window or sunset backlight, subject slightly shadowed but recognizable. prioritize beautiful but still realistic phone-photo aesthetics. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: backlight.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll photo, not stock photography, not advertisement.
Keep the scen…","commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise, watermark, logo, text overlay, poster design, commercial studio photo, glossy render, 3d render, cartoon, anime, illustration, unrealistic AI artifacts, distorted hands, duplicate faces, malformed limbs, low quality",breakfast,,backlight,pilot_review,breakfast_flux_backlight_0009,Qwen pilot variant. 精品逆光样本，控制真实感
breakfast_qwen_overexposed_0010,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_overexposed_0010.jpg,synthetic,dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: slightly overexposed bright area, washed highlights, still realistic and usable. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: overexposed.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll photo, not stock photography, not advertisement.
Keep the scen…","commercial studio photo, perfect advertising composition, glossy render, 3d render, cartoon, anime, illustration, fake UI, unreadable gibberish text, watermark, logo, distorted hands, extra limbs, duplicate faces, unnatural skin, extreme blur, extreme noise, watermark, logo, text overlay, poster design, commercial studio photo, glossy render, 3d render, cartoon, anime, illustration, unrealistic AI artifacts, distorted hands, duplicate faces, malformed limbs, low quality",breakfast,,overexposed,pilot_review,breakfast_sd35_overexposed_0010,Qwen pilot variant. 轻微过曝，不能完全丢失主体
