image_id,source_file_path,suggested_scene,quality_tags,generator,model,prompt,source_type,split,notes,exists
breakfast_qwen_backlight_0009,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_backlight_0009.jpg,breakfast,backlight,dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: strong window or sunset backlight, subject slightly shadowed but recognizable. prioritize beautiful but still realistic phone-photo aesthetics. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: backlight.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll photo, not stock photography, not advertisement.
Keep the scen…",synthetic,pilot_review,Qwen pilot variant. 精品逆光样本，控制真实感,true
breakfast_qwen_blurry_compressed_0003,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_blurry_compressed_0003.jpg,breakfast,"blurry,compressed",dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: slightly shaky handheld photo, mild motion blur and compression artifacts, still recognizable. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: blurry,compressed.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll photo, not stock photography, not advertis…",synthetic,pilot_review,Qwen pilot variant. 轻微手抖和压缩，不要极端糊,true
breakfast_qwen_cluttered_0004,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_cluttered_0004.jpg,breakfast,cluttered,dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: messy real-life background, extra objects and visual clutter, still understandable. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: cluttered.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll photo, not stock photography, not advertisement.
Keep the sce…",synthetic,pilot_review,Qwen pilot variant. 杂物背景，保留主体,true
breakfast_qwen_collage_0008,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_collage_0008.jpg,breakfast,collage,dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: simple two-photo or three-photo collage layout, real phone album style, no decorative design. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: collage.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll photo, not stock photography, not advertisement.
Keep…",synthetic,pilot_review,Qwen pilot variant. 拼图样本，审核后再决定是否训练,true
breakfast_qwen_low_light_0002,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_low_light_0002.jpg,breakfast,low_light,dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: low light indoor or evening photo, visible but dim, realistic phone noise, not too dark. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: low_light.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll photo, not stock photography, not advertisement.
Keep th…",synthetic,pilot_review,Qwen pilot variant. 低光困难样本,true
breakfast_qwen_normal_0001,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_normal_0001.jpg,breakfast,normal,dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: clear realistic smartphone photo, natural lighting, no text overlay, no watermark. prioritize beautiful but still realistic phone-photo aesthetics. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: normal.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll photo, not stock photography, not advertisement.
Keep the sce…",synthetic,pilot_review,Qwen pilot variant. 精品正常样本，优先看是否像真实手机照片,true
breakfast_qwen_overexposed_0010,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_overexposed_0010.jpg,breakfast,overexposed,dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: slightly overexposed bright area, washed highlights, still realistic and usable. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: overexposed.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll photo, not stock photography, not advertisement.
Keep the scen…",synthetic,pilot_review,Qwen pilot variant. 轻微过曝，不能完全丢失主体,true
breakfast_qwen_partial_subject_0006,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_partial_subject_0006.jpg,breakfast,partial_subject,dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: main subject partly cropped or partially visible, realistic accidental framing. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: partial_subject.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll photo, not stock photography, not advertisement.
Keep the s…",synthetic,pilot_review,Qwen pilot variant. 主体部分裁切,true
breakfast_qwen_screenshot_text_overlay_0007,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_screenshot_text_overlay_0007.jpg,breakfast,"screenshot,text_overlay",dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: phone screenshot-like image containing a photo with small UI bars or subtle text overlay, realistic but not a clean camera photo. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: screenshot,text_overlay.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll p…",synthetic,pilot_review,Qwen pilot variant. 特殊来源样本，审核后再决定是否训练,true
breakfast_qwen_weird_angle_0005,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/qwen_images/breakfast/breakfast_qwen_weird_angle_0005.jpg,breakfast,weird_angle,dashscope,qwen-image-plus,"Realistic smartphone lifestyle photo for SnapCopy scene classification. Primary scene: breakfast. Visual anchor: a casual morning breakfast table with eggs, toast, fruit, coffee or tea, ordinary home light. Quality condition: awkward tilted or top-down smartphone angle, casual composition, not a studio shot. prioritize natural phone realism and diverse casual details. Shot should look like a real user photo, not stock photography. Use natural imperfections, plausible lighting, and ordinary objects.

Generator: DashScope Qwen image model.
Scene label: breakfast.
Quality tags: weird_angle.
Dataset purpose: lightweight iOS scene classifier training for real-life social caption photos.
Important style rule: ordinary phone camera roll photo, not stock photography, not advertisement.
Keep the s…",synthetic,pilot_review,Qwen pilot variant. 奇怪角度，模拟随手拍,true
