image_id,file_path,primary_scene,quality_tags,generator,model,keep_or_remove,remove_reason,reviewed_at,review_notes
breakfast_gemini_normal_0001,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/breakfast/breakfast_gemini_normal_0001.jpg,breakfast,normal,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
breakfast_gemini_low_light_0002,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/breakfast/breakfast_gemini_low_light_0002.jpg,breakfast,low_light,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
breakfast_gemini_blurry_compressed_0003,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/breakfast/breakfast_gemini_blurry_compressed_0003.jpg,breakfast,"blurry,compressed",gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
breakfast_gemini_cluttered_0004,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/breakfast/breakfast_gemini_cluttered_0004.jpg,breakfast,cluttered,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
breakfast_gemini_weird_angle_0005,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/breakfast/breakfast_gemini_weird_angle_0005.jpg,breakfast,weird_angle,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
breakfast_gemini_partial_subject_0006,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/breakfast/breakfast_gemini_partial_subject_0006.jpg,breakfast,partial_subject,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
breakfast_gemini_screenshot_text_overlay_0007,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/breakfast/breakfast_gemini_screenshot_text_overlay_0007.jpg,breakfast,"screenshot,text_overlay",gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
breakfast_gemini_collage_0008,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/breakfast/breakfast_gemini_collage_0008.jpg,breakfast,collage,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
breakfast_gemini_backlight_0009,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/breakfast/breakfast_gemini_backlight_0009.jpg,breakfast,backlight,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
breakfast_gemini_overexposed_0010,/Volumes/AI作品素材/SnapCopy_ML_Dataset/synthetic_pilot/gemini_images/breakfast/breakfast_gemini_overexposed_0010.jpg,breakfast,overexposed,gemini_imagen,imagen-4.0-fast-generate-001,remove,synthetic_artifact_pollution,2026-05-23T06:38:49.350520+00:00,"Rejected as a batch: many images contain phone-in-phone framing, fake app/screenshot UI, SnapCopy text, over-staged synthetic composition, or other artifacts likely to pollute scene classifier training."
